map_id,trial_id,seed,coverage_fraction,distance_to_home_m,elapsed_time_s,elapsed_wall_time_s,collision_count,success,timed_out,large_map_correction_count,largest_map_correction_m,largest_map_correction_deg,outcome,report_path
5,1,5200003,0.9644744238336144,0.2639406061495527,2088.0499999988306,522.0329141500115,66587,True,False,0,0.0,0.0,Success,results/explore_and_return/batch_random_indoor/5/trial_01/report.yaml
5,2,5300000,0.9084265930808932,0.25413361273841123,489.0000000000769,122.26730850100284,2204,True,False,0,0.0,0.0,Success,results/explore_and_return/batch_random_indoor/5/trial_02/report.yaml
5,3,5400007,0.9909959630027083,0.1422706129576384,718.9999999998938,179.7681498489983,95,True,False,1,1.13,2.9,Success,results/explore_and_return/batch_random_indoor/5/trial_03/report.yaml
5,4,5500000,1.0,0.29852217058449965,609.999999999993,152.5191055989999,1518,True,False,0,0.0,0.0,Success,results/explore_and_return/batch_random_indoor/5/trial_04/report.yaml
5,5,5600005,0.9829935101435945,0.15505071346774757,880.9999999997465,220.2666863320046,4327,True,False,1,0.57,4.4,Success,results/explore_and_return/batch_random_indoor/5/trial_05/report.yaml
5,6,5700003,1.0,0.13682470976523306,772.9999999998447,193.26724758101045,4763,True,False,0,0.0,0.0,Success,results/explore_and_return/batch_random_indoor/5/trial_06/report.yaml
5,7,5800003,1.0,0.11655462547328066,683.9999999999256,171.01846398599446,2933,True,False,0,0.0,0.0,Success,results/explore_and_return/batch_random_indoor/5/trial_07/report.yaml
5,8,5900003,0.7442792171291328,0.13994441096850024,493.0000000000778,123.60383661100059,2238,False,False,0,0.0,0.0,"Coverage miss, home pass",results/explore_and_return/batch_random_indoor/5/trial_08/report.yaml
5,9,6000002,0.33658737579436143,0.0,324.0000000000394,81.01578530299594,0,False,False,0,0.0,0.0,"Coverage miss, home pass",results/explore_and_return/batch_random_indoor/5/trial_09/report.yaml
5,10,6100000,0.592334815269048,0.23973831782508806,591.0000000000102,147.76780029799556,1507,False,False,0,0.0,0.0,"Coverage miss, home pass",results/explore_and_return/batch_random_indoor/5/trial_10/report.yaml
